 0.00000000e+00  1.64600000e+00  0.00000000e+00  1.65000000e+00 
 1.00000000e-11  1.64600000e+00  1.00000000e-11  1.65000000e+00 
 2.00000000e-11  1.64600000e+00  2.00000000e-11  1.65000000e+00 
 4.00000000e-11  1.64600000e+00  4.00000000e-11  1.65000000e+00 
 8.00000000e-11  1.64600000e+00  8.00000000e-11  1.65000000e+00 
 1.60000000e-10  1.64600000e+00  1.60000000e-10  1.65000000e+00 
 3.20000000e-10  1.64600000e+00  3.20000000e-10  1.65000000e+00 
 5.91104136e-10  1.64600000e+00  5.91104136e-10  1.65000000e+00 
 9.37264944e-10  1.64600000e+00  9.37264944e-10  1.65000000e+00 
 1.00000000e-09  1.64600000e+00  1.00000000e-09  1.65000000e+00 
 1.06923216e-09  1.64600000e+00  1.06923216e-09  1.65000000e+00 
 1.20769649e-09  1.64600000e+00  1.20769649e-09  1.65000000e+00 
 1.48462513e-09  1.64600000e+00  1.48462513e-09  1.65000000e+00 
 2.03848243e-09  1.64600000e+00  2.03848243e-09  1.65000000e+00 
 2.60819317e-09  1.64600000e+00  2.60819317e-09  1.65000000e+00 
 3.04956404e-09  1.64600000e+00  3.04956404e-09  1.65000000e+00 
 3.50431345e-09  1.64600000e+00  3.50431345e-09  1.65000000e+00 
 4.02446345e-09  1.64600000e+00  4.02446345e-09  1.65000000e+00 
 4.56867226e-09  1.64600000e+00  4.56867226e-09  1.65000000e+00 
 5.14525492e-09  1.64600000e+00  5.14525492e-09  1.65000000e+00 
 5.78240672e-09  1.64600000e+00  5.78240672e-09  1.65000000e+00 
 6.42453935e-09  1.64600000e+00  6.42453935e-09  1.65000000e+00 
 7.07637816e-09  1.64600000e+00  7.07637816e-09  1.65000000e+00 
 7.74036454e-09  1.64600000e+00  7.74036454e-09  1.65000000e+00 
 8.53091266e-09  1.64600000e+00  8.53091266e-09  1.65000000e+00 
 9.40215759e-09  1.64600000e+00  9.40215759e-09  1.65000000e+00 
 1.04673980e-08  1.64600000e+00  1.04673980e-08  1.65000000e+00 
 1.17587741e-08  1.64600000e+00  1.17587741e-08  1.65000000e+00 
 1.33603232e-08  1.64600000e+00  1.33603232e-08  1.65000000e+00 
 1.54014071e-08  1.64600000e+00  1.54014071e-08  1.65000000e+00 
 1.80026987e-08  1.64600000e+00  1.80026987e-08  1.65000000e+00 
 2.13858953e-08  1.64600000e+00  2.13858953e-08  1.65000000e+00 
 2.57978433e-08  1.64600000e+00  2.57978433e-08  1.65000000e+00 
 2.99427151e-08  1.64600000e+00  2.99427151e-08  1.65000000e+00 
 3.43915112e-08  1.64600000e+00  3.43915112e-08  1.65000000e+00 
 3.84396552e-08  1.64600000e+00  3.84396552e-08  1.65000000e+00 
 4.27069942e-08  1.64600000e+00  4.27069942e-08  1.65000000e+00 
 4.82595834e-08  1.64600000e+00  4.82595834e-08  1.65000000e+00 
 5.41255862e-08  1.64600000e+00  5.41255862e-08  1.65000000e+00 
 6.34761116e-08  1.64600000e+00  6.34761116e-08  1.65000000e+00 
 7.19606963e-08  1.64600000e+00  7.19606963e-08  1.65000000e+00 
 8.87720407e-08  1.64600000e+00  8.87720407e-08  1.65000000e+00 
